Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Peak Value,Peak Position
-0.5972401162384394,-0.45118035888347086,-0.265985756228236,-0.02517273326481229,-0.11539574481479863,-0.4930442728936581,-0.7258338338499141,0.04802088953526733,5.0
-0.45118035888347086,-0.265985756228236,-0.02517273326481229,-0.11539574481479863,-0.4930442728936581,-0.7258338338499141,-0.5883979336182956,0.04802088953526733,4.0
-0.265985756228236,-0.02517273326481229,-0.11539574481479863,-0.4930442728936581,-0.7258338338499141,-0.5883979336182956,-0.6472366550041909,0.04802088953526733,3.0
-0.02517273326481229,-0.11539574481479863,-0.4930442728936581,-0.7258338338499141,-0.5883979336182956,-0.6472366550041909,-0.6462541902686194,0.2728961512327524,6.0
-0.11539574481479863,-0.4930442728936581,-0.7258338338499141,-0.5883979336182956,-0.6472366550041909,-0.6462541902686194,-0.7470659884130989,0.5191127302418196,6.0
-0.4930442728936581,-0.7258338338499141,-0.5883979336182956,-0.6472366550041909,-0.6462541902686194,-0.7470659884130989,-0.39878223965298865,0.9541262826032169,6.0
-0.7258338338499141,-0.5883979336182956,-0.6472366550041909,-0.6462541902686194,-0.7470659884130989,-0.39878223965298865,0.04802088953526733,0.9541262826032169,5.0
-0.5883979336182956,-0.6472366550041909,-0.6462541902686194,-0.7470659884130989,-0.39878223965298865,0.04802088953526733,-0.31565480674879703,0.9541262826032169,4.0
-0.6472366550041909,-0.6462541902686194,-0.7470659884130989,-0.39878223965298865,0.04802088953526733,-0.31565480674879703,-0.4460497097088195,0.9541262826032169,3.0
-0.6462541902686194,-0.7470659884130989,-0.39878223965298865,0.04802088953526733,-0.31565480674879703,-0.4460497097088195,-0.06065062649378453,0.9541262826032169,2.0
-0.7470659884130989,-0.39878223965298865,0.04802088953526733,-0.31565480674879703,-0.4460497097088195,-0.06065062649378453,0.2728961512327524,0.9541262826032169,1.0
-0.39878223965298865,0.04802088953526733,-0.31565480674879703,-0.4460497097088195,-0.06065062649378453,0.2728961512327524,0.5191127302418196,0.9541262826032169,0.0
0.04802088953526733,-0.31565480674879703,-0.4460497097088195,-0.06065062649378453,0.2728961512327524,0.5191127302418196,0.9541262826032169,0.32414806160506776,1.0
-0.31565480674879703,-0.4460497097088195,-0.06065062649378453,0.2728961512327524,0.5191127302418196,0.9541262826032169,0.09070352415843054,0.32414806160506776,0.0
-0.4460497097088195,-0.06065062649378453,0.2728961512327524,0.5191127302418196,0.9541262826032169,0.09070352415843054,0.32414806160506776,0.1588756605322557,2.0
-0.06065062649378453,0.2728961512327524,0.5191127302418196,0.9541262826032169,0.09070352415843054,0.32414806160506776,-0.6102304832976632,0.1588756605322557,1.0
0.2728961512327524,0.5191127302418196,0.9541262826032169,0.09070352415843054,0.32414806160506776,-0.6102304832976632,-0.3601386267205084,0.1588756605322557,0.0
0.5191127302418196,0.9541262826032169,0.09070352415843054,0.32414806160506776,-0.6102304832976632,-0.3601386267205084,0.1588756605322557,0.09343259286835158,1.0
0.9541262826032169,0.09070352415843054,0.32414806160506776,-0.6102304832976632,-0.3601386267205084,0.1588756605322557,-0.28345179597173004,0.09343259286835158,0.0
0.09070352415843054,0.32414806160506776,-0.6102304832976632,-0.3601386267205084,0.1588756605322557,-0.28345179597173004,0.09343259286835158,-0.10316951699435288,6.0
0.32414806160506776,-0.6102304832976632,-0.3601386267205084,0.1588756605322557,-0.28345179597173004,0.09343259286835158,-0.9096639021501883,-0.10316951699435288,5.0
-0.6102304832976632,-0.3601386267205084,0.1588756605322557,-0.28345179597173004,0.09343259286835158,-0.9096639021501883,-0.8816636571863995,-0.10316951699435288,4.0
-0.3601386267205084,0.1588756605322557,-0.28345179597173004,0.09343259286835158,-0.9096639021501883,-0.8816636571863995,-0.5654191750807612,-0.10316951699435288,3.0
