Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Peak Value,Peak Position
-1.3666569818873453,-0.9898786347981858,-0.25673824860373096,-1.3811741054035103,-1.2883260716075433,-1.3779936755165767,-1.3041256265297299,-1.3161804817463334,5.0
-0.9898786347981858,-0.25673824860373096,-1.3811741054035103,-1.2883260716075433,-1.3779936755165767,-1.3041256265297299,-1.3650667669438785,-1.3161804817463334,4.0
-0.25673824860373096,-1.3811741054035103,-1.2883260716075433,-1.3779936755165767,-1.3041256265297299,-1.3650667669438785,-1.386662911821283,-1.3058697332419191,6.0
-1.3811741054035103,-1.2883260716075433,-1.3779936755165767,-1.3041256265297299,-1.3650667669438785,-1.386662911821283,-1.3750184346546064,-1.3058697332419191,5.0
-1.2883260716075433,-1.3779936755165767,-1.3041256265297299,-1.3650667669438785,-1.386662911821283,-1.3750184346546064,-1.3929211770826686,-1.3058697332419191,4.0
-1.3779936755165767,-1.3041256265297299,-1.3650667669438785,-1.386662911821283,-1.3750184346546064,-1.3929211770826686,-1.3764547578293507,-1.3043308155546933,6.0
-1.3041256265297299,-1.3650667669438785,-1.386662911821283,-1.3750184346546064,-1.3929211770826686,-1.3764547578293507,-1.3161804817463334,-1.3043308155546933,5.0
-1.3650667669438785,-1.386662911821283,-1.3750184346546064,-1.3929211770826686,-1.3764547578293507,-1.3161804817463334,-1.3657849285312507,-1.3039204375047662,6.0
-1.386662911821283,-1.3750184346546064,-1.3929211770826686,-1.3764547578293507,-1.3161804817463334,-1.3657849285312507,-1.3964093905070474,-1.3039204375047662,5.0
-1.3750184346546064,-1.3929211770826686,-1.3764547578293507,-1.3161804817463334,-1.3657849285312507,-1.3964093905070474,-1.3058697332419191,-1.3039204375047662,4.0
-1.3929211770826686,-1.3764547578293507,-1.3161804817463334,-1.3657849285312507,-1.3964093905070474,-1.3058697332419191,-1.407694786880038,-1.3039204375047662,3.0
-1.3764547578293507,-1.3161804817463334,-1.3657849285312507,-1.3964093905070474,-1.3058697332419191,-1.407694786880038,-1.4077973813925195,-1.2862741813579086,6.0
-1.3161804817463334,-1.3657849285312507,-1.3964093905070474,-1.3058697332419191,-1.407694786880038,-1.4077973813925195,-1.3043308155546933,-1.2862741813579086,5.0
-1.3657849285312507,-1.3964093905070474,-1.3058697332419191,-1.407694786880038,-1.4077973813925195,-1.3043308155546933,-1.4066688417552207,-1.2862741813579086,4.0
-1.3964093905070474,-1.3058697332419191,-1.407694786880038,-1.4077973813925195,-1.3043308155546933,-1.4066688417552207,-1.3039204375047662,-1.2862741813579086,3.0
-1.3058697332419191,-1.407694786880038,-1.4077973813925195,-1.3043308155546933,-1.4066688417552207,-1.3039204375047662,-1.4024624667434697,-1.2862741813579086,2.0
-1.407694786880038,-1.4077973813925195,-1.3043308155546933,-1.4066688417552207,-1.3039204375047662,-1.4024624667434697,-1.3784040535665036,-1.2862741813579086,1.0
-1.4077973813925195,-1.3043308155546933,-1.4066688417552207,-1.3039204375047662,-1.4024624667434697,-1.3784040535665036,-1.3921517182390555,-1.2862741813579086,0.0
-1.3043308155546933,-1.4066688417552207,-1.3039204375047662,-1.4024624667434697,-1.3784040535665036,-1.3921517182390555,-1.2862741813579086,-1.298329036574512,3.0
-1.4066688417552207,-1.3039204375047662,-1.4024624667434697,-1.3784040535665036,-1.3921517182390555,-1.2862741813579086,-1.3945113920261354,-1.2951999039438191,6.0
-1.3039204375047662,-1.4024624667434697,-1.3784040535665036,-1.3921517182390555,-1.2862741813579086,-1.3945113920261354,-1.3827130230907363,-1.2894546112448422,6.0
-1.4024624667434697,-1.3784040535665036,-1.3921517182390555,-1.2862741813579086,-1.3945113920261354,-1.3827130230907363,-1.3931776633638728,-1.2894546112448422,5.0
-1.3784040535665036,-1.3921517182390555,-1.2862741813579086,-1.3945113920261354,-1.3827130230907363,-1.3931776633638728,-1.298329036574512,-1.2894546112448422,4.0
-1.3921517182390555,-1.2862741813579086,-1.3945113920261354,-1.3827130230907363,-1.3931776633638728,-1.298329036574512,-1.375480109960774,-1.2894546112448422,3.0
-1.2862741813579086,-1.3945113920261354,-1.3827130230907363,-1.3931776633638728,-1.298329036574512,-1.375480109960774,-1.3869706953587282,-1.2894546112448422,2.0
-1.3945113920261354,-1.3827130230907363,-1.3931776633638728,-1.298329036574512,-1.375480109960774,-1.3869706953587282,-1.3750697319108471,-1.2894546112448422,1.0
-1.3827130230907363,-1.3931776633638728,-1.298329036574512,-1.375480109960774,-1.3869706953587282,-1.3750697319108471,-1.2951999039438191,-1.2894546112448422,0.0
-1.3931776633638728,-1.298329036574512,-1.375480109960774,-1.3869706953587282,-1.3750697319108471,-1.2951999039438191,-1.2894546112448422,-1.3230543140826092,6.0
-1.298329036574512,-1.375480109960774,-1.3869706953587282,-1.3750697319108471,-1.2951999039438191,-1.2894546112448422,-1.3810715108910285,-1.3230543140826092,5.0
-1.375480109960774,-1.3869706953587282,-1.3750697319108471,-1.2951999039438191,-1.2894546112448422,-1.3810715108910285,-1.3737360032485848,-1.3230543140826092,4.0
-1.3869706953587282,-1.3750697319108471,-1.2951999039438191,-1.2894546112448422,-1.3810715108910285,-1.3737360032485848,-1.372556166355045,-1.3114611341721736,6.0
-1.3750697319108471,-1.2951999039438191,-1.2894546112448422,-1.3810715108910285,-1.3737360032485848,-1.372556166355045,-1.3749158401421246,-1.3114611341721736,5.0
-1.2951999039438191,-1.2894546112448422,-1.3810715108910285,-1.3737360032485848,-1.372556166355045,-1.3749158401421246,-1.3630148766942438,-1.3114611341721736,4.0
-1.2894546112448422,-1.3810715108910285,-1.3737360032485848,-1.372556166355045,-1.3749158401421246,-1.3630148766942438,-1.3788657288726713,-1.297097902424731,6.0
-1.3810715108910285,-1.3737360032485848,-1.372556166355045,-1.3749158401421246,-1.3630148766942438,-1.3788657288726713,-1.3230543140826092,-1.2457493489276246,6.0
-1.3737360032485848,-1.372556166355045,-1.3749158401421246,-1.3630148766942438,-1.3788657288726713,-1.3230543140826092,-1.3573208812515076,-1.2457493489276246,5.0
-1.372556166355045,-1.3749158401421246,-1.3630148766942438,-1.3788657288726713,-1.3230543140826092,-1.3573208812515076,-1.3866116145650422,-1.2457493489276246,4.0
-1.3749158401421246,-1.3630148766942438,-1.3788657288726713,-1.3230543140826092,-1.3573208812515076,-1.3866116145650422,-1.3114611341721736,-1.1754208106213975,6.0
-1.3630148766942438,-1.3788657288726713,-1.3230543140826092,-1.3573208812515076,-1.3866116145650422,-1.3114611341721736,-1.3875862624336184,-1.1754208106213975,5.0
-1.3788657288726713,-1.3230543140826092,-1.3573208812515076,-1.3866116145650422,-1.3114611341721736,-1.3875862624336184,-1.371017248667819,-1.1754208106213975,4.0
