Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Peak Value,Peak Position
-1.2550313266116875,-1.2111889757133574,-1.1715147356398685,-1.1852540639143452,-1.2091821075384337,-1.1488988750532303,-1.0193015032956667,-1.0372089423949844,4.0
-1.2111889757133574,-1.1715147356398685,-1.1852540639143452,-1.2091821075384337,-1.1488988750532303,-1.0193015032956667,-1.1817034509894806,-1.0372089423949844,3.0
-1.1715147356398685,-1.1852540639143452,-1.2091821075384337,-1.1488988750532303,-1.0193015032956667,-1.1817034509894806,-1.189962485401666,-1.0372089423949844,2.0
-1.1852540639143452,-1.2091821075384337,-1.1488988750532303,-1.0193015032956667,-1.1817034509894806,-1.189962485401666,-1.0868403361055938,-1.0372089423949844,1.0
-1.2091821075384337,-1.1488988750532303,-1.0193015032956667,-1.1817034509894806,-1.189962485401666,-1.0868403361055938,-1.1739075400022774,-1.0372089423949844,0.0
-1.1488988750532303,-1.0193015032956667,-1.1817034509894806,-1.189962485401666,-1.0868403361055938,-1.1739075400022774,-1.0372089423949844,-1.1325351807038533,6.0
-1.0193015032956667,-1.1817034509894806,-1.189962485401666,-1.0868403361055938,-1.1739075400022774,-1.0372089423949844,-1.1739847272397748,-1.1325351807038533,5.0
-1.1817034509894806,-1.189962485401666,-1.0868403361055938,-1.1739075400022774,-1.0372089423949844,-1.1739847272397748,-1.3166267421343412,-1.1325351807038533,4.0
-1.189962485401666,-1.0868403361055938,-1.1739075400022774,-1.0372089423949844,-1.1739847272397748,-1.3166267421343412,-1.2351170193374459,-1.1325351807038533,3.0
-1.0868403361055938,-1.1739075400022774,-1.0372089423949844,-1.1739847272397748,-1.3166267421343412,-1.2351170193374459,-1.2431444920371402,-1.1274408230290474,6.0
-1.1739075400022774,-1.0372089423949844,-1.1739847272397748,-1.3166267421343412,-1.2351170193374459,-1.2431444920371402,-1.284439664098067,-1.1274408230290474,5.0
-1.0372089423949844,-1.1739847272397748,-1.3166267421343412,-1.2351170193374459,-1.2431444920371402,-1.284439664098067,-1.1391732831286006,-1.1274408230290474,4.0
-1.1739847272397748,-1.3166267421343412,-1.2351170193374459,-1.2431444920371402,-1.284439664098067,-1.1391732831286006,-1.1325351807038533,-1.1035899666424562,6.0
-1.3166267421343412,-1.2351170193374459,-1.2431444920371402,-1.284439664098067,-1.1391732831286006,-1.1325351807038533,-1.1759915954146982,-1.1035899666424562,5.0
-1.2351170193374459,-1.2431444920371402,-1.284439664098067,-1.1391732831286006,-1.1325351807038533,-1.1759915954146982,-1.1986074560013364,-1.0978781110676736,6.0
-1.2431444920371402,-1.284439664098067,-1.1391732831286006,-1.1325351807038533,-1.1759915954146982,-1.1986074560013364,-1.1499794963781889,-1.0978781110676736,5.0
-1.284439664098067,-1.1391732831286006,-1.1325351807038533,-1.1759915954146982,-1.1986074560013364,-1.1499794963781889,-1.1274408230290474,-1.0978781110676736,4.0
-1.1391732831286006,-1.1325351807038533,-1.1759915954146982,-1.1986074560013364,-1.1499794963781889,-1.1274408230290474,-1.162869765040198,-1.0978781110676736,3.0
-1.1325351807038533,-1.1759915954146982,-1.1986074560013364,-1.1499794963781889,-1.1274408230290474,-1.162869765040198,-1.1929727876640512,-1.0626807307690143,6.0
-1.1759915954146982,-1.1986074560013364,-1.1499794963781889,-1.1274408230290474,-1.162869765040198,-1.1929727876640512,-1.1035899666424562,-0.9892756679093104,6.0
-1.1986074560013364,-1.1499794963781889,-1.1274408230290474,-1.162869765040198,-1.1929727876640512,-1.1035899666424562,-1.1094561966922327,-0.9892756679093104,5.0
-1.1499794963781889,-1.1274408230290474,-1.162869765040198,-1.1929727876640512,-1.1035899666424562,-1.1094561966922327,-1.0978781110676736,-0.9892756679093104,4.0
-1.1274408230290474,-1.162869765040198,-1.1929727876640512,-1.1035899666424562,-1.1094561966922327,-1.0978781110676736,-1.2277842317752252,-0.9892756679093104,3.0
-1.162869765040198,-1.1929727876640512,-1.1035899666424562,-1.1094561966922327,-1.0978781110676736,-1.2277842317752252,-1.121574592979271,-0.9892756679093104,2.0
-1.1929727876640512,-1.1035899666424562,-1.1094561966922327,-1.0978781110676736,-1.2277842317752252,-1.121574592979271,-1.2128099077007959,-0.9892756679093104,1.0
-1.1035899666424562,-1.1094561966922327,-1.0978781110676736,-1.2277842317752252,-1.121574592979271,-1.2128099077007959,-1.0626807307690143,-0.9892756679093104,0.0
-1.1094561966922327,-1.0978781110676736,-1.2277842317752252,-1.121574592979271,-1.2128099077007959,-1.0626807307690143,-0.9892756679093104,-0.9131690517372095,6.0
-1.0978781110676736,-1.2277842317752252,-1.121574592979271,-1.2128099077007959,-1.0626807307690143,-0.9892756679093104,-1.245691670874543,-0.9131690517372095,5.0
-1.2277842317752252,-1.121574592979271,-1.2128099077007959,-1.0626807307690143,-0.9892756679093104,-1.245691670874543,-1.16518538216511,-0.9131690517372095,4.0
-1.121574592979271,-1.2128099077007959,-1.0626807307690143,-0.9892756679093104,-1.245691670874543,-1.16518538216511,-1.051642955806935,-0.9131690517372095,3.0
-1.2128099077007959,-1.0626807307690143,-0.9892756679093104,-1.245691670874543,-1.16518538216511,-1.051642955806935,-1.1029724687424796,-0.9131690517372095,2.0
-1.0626807307690143,-0.9892756679093104,-1.245691670874543,-1.16518538216511,-1.051642955806935,-1.1029724687424796,-1.1377839128536535,-0.9131690517372095,1.0
